scientific_name
---.AUSENTE DA LISTA.---
---ABSENTE DE LA LISTE---
---INCONNUE---
---NOT IN LIST----
---NOT KNOWN---
Coccoloba laurifolia
Coccoloba reflexiflora
Coccoloba schippii
Coccoloba sp.
Coccoloba spicata
Coccoloba tuerckheimii
Coccoloba tuerkheimii
Coccoloba uvifera
Cochlospermum v
Cochlospermum vitifolium
Cochlospermum vitifoliwn
Cococ nucifera
Cocos nucifera
"Cocos nucifera
Cocos nucifera"
Cocos nuscifera
Codiaeum luzonicum
Coelocaryon
Coelocaryon preussii
Coffea
Coffea arabica
Coffea arabiga
Coffea sp.
Cojoba arborea
Cola
Cola acuminata
Cola argentea
Cola ballayi
Cola chlamydantha
Cola ficifolia
Cola lateritia
Cola lepidota
Cola mirabilis
Cola nitida
Cola sp.
Cola verticiliata
Colletoecema dewevrei
Colona blancoi
Colona lanceolata
Colona mollis
Colona philippinensis
Colona serratifolia
Colono serratifolia
Colophospermum
Colophospermum mopane
Colubrina arborescens
Colubrina guatemalensis
Colubrina sp
Combretaceae
Combretodendron quadrialatum
Combretum
Combretum adenogonium
Combretum binderianum
Combretum celastroides
Combretum collinum
Combretum fragrans
Combretum glutinosum
Combretum imberbe
Combretum lamprocarpum
Combretum molle
Combretum mossambicense
Combretum nigricans
Combretum psidioides
Combretum senegalensis
Combretum sp.
Combretum zeyheri
Commelina sp.
Commersonia bartramia
Commiphora africana
Commiphora glaucescens
Commiphora mollis
Commiphora pedunculata
Commiphora sp.
Comphostema javanicum
Comptostemon philippinense
Conceveiba plei
Conocarpus erecta
Conostegia xalapensis
Copaifera aromatica Dwyer.
Copaifera mildbraedii
Copaifera religiosa
Corchorus capsularis
Cordia
Cordia africana
Cordia alba
Cordia alliodor
Cordia alliodora
Cordia Alliodora
Cordia alliodora (Ruiz & Pavón) Oken.
Cordia aspera
Cordia aurantiaca
Cordia bicolor
Cordia bicolor DC.
Cordia collococca
Cordia dentata
Cordia dentata Poir.
Cordia dichotoma
Cordia diversifolia
Cordia dodecandra
Cordia gerascanthus
Cordia glabra
Cordia globosa
Cordia megalant
Cordia nitida
Cordia platythyrsa
Cordia sp.
Cordia sp01.
Cordia truncatifolia
Cordyline fruticosa
Cornus australis
Cornus disciflo
Cornus disciflora
Cornutia grandifolia
Cornutia lilacina var.velutina
Corynanthe
Corynanthe pachyceras
Corypha elata
Corypha utan
Costus speciosus
Coula edulis
Couma macrocarp
Coupia glabra
Couroupita nicaraguensis
Coussapoa oligocephala
Coussapoa panamensis
Craibia affinis
Crataegus  stipulosa
Crataegus azerolus & sinaica
Crataegus mexicana
Crataegus turktstan.
Crataera tapira
Crataeva magna
Crataeva nurvala
Crataeva tapia
Crateagus monogyna
Cratoxylum blancoi
Cratoxylum celebicum
Cratoxylum formosum
Cratoxylum sumatranum
Crescentia alata
Crescentia cujete
Crisobalanus icaco
Crossopteryx febrifuga
Crosspetalum ta
Crotalaria sp.
Croton
Croton brieyi
Croton draco
Croton gossypiifolius
Croton guatemalensis
Croton heterocarpus
Croton leiophyllus
Croton macrodontus
Croton macrophyllus
Croton macrostachyus
Croton niveus
Croton oligandrum
Croton panamensis
Croton peraeruginosus
Croton reflexifolius
Croton schiedea
Croton schiedeanus
Croton sp
Croton sp.
Croton sp01.
Croton tiglium
Croton xalapensis
Crudia gabonensis
Cryosophila alb
Crypteronia paniculata
Cryptocarya ampla
Cryptocarya foxworthyi
Cryptocarya lauriflora
Cryptocarya oligocarpa
Cryptocarya sp
Cryptosepalum exfoliatum
Cryptosepalum maraviense
Cryptosepalum pseudotaxus
Cubilia cubili
Cupania belicensis
Cupania cinerea
Cupania cubensis
Cupania dentata
Cupania glabra
Cupania guatemalensis
Cupania macrophylla
Cupania prisca
Cupania sp
Cupressus lusitanica
Cupressus lusitanica Mill.
Cupressus sempervirens
Cupressus sempervirens pyramidalis
Cupressus sp.
Curatella americana
Curculigo orchioides
Curcuma longa
Cussonia altissima
Cussonia arborea
Cussonia barteri
Cussonia spicata
Cutanea guatemalensis
Cyathocalyx globosus
Cybastax donnell-smithii
Cylicodiscus gabonensis
Cylicodiscus gabunensis
Cylicomorpha solmsii
Cymbopetalum penduliflorum
Cymbopogon citratus
Cynometra elmeri
Cynometra hankei
Cynometra lujae
Cynometra mannii
Cynometra ramiflora
Cynometra relusa
Cynometra retusa
Cynometra sanagaensis
Cynometra simplicifolia
Cypholophus moluccanus
Cyphomandra har
Cyprus difusus
Cyrpes difusus
Cyrtogonone argentea
Dacryodes
Dacryodes buettneri
Dacryodes edulis
Dacryodes igaganga
Dacryodes macrophylla
Dacryodes pubescens
Daemonorops urdanetanus
Dalbergia cubiliquitzensis
Dalbergia funera
Dalbergia glomerata
Dalbergia melanoxylon
Dalbergia mimosella
Dalbergia nitidula
Dalbergia retusa
Dalbergia retusa Hemsl.
Dalbergia sisoo
Dalbergia sissoo
Dalbergia tucurensis
Dalbergia tucurensis Donn-Smith
Dalbergiella nyasae
Daniellia
Daniellia alsteeniana
Daniellia klainei
Daniellia oliveri
Daniellia soyauxii
Danniella aslteeniana
Daphnopsis sp
Darbergia glabra
Dasylepis
Dasylepis seretii
Dasymaschalon clusiflorum
Decaspermum blancoi
Decaspermum fruticosum
Dehassia kurzii
Dellenia pentagyna
Delonix regia
Delonyx regia
Delotia camthllii
Dendrocalamus giganteus
Dendrocalamus hamiltonii
Dendrocalamus longispathus
Dendrocnide densiflora
Dendrocnide meyeniana
Dendropanax arb
Dendropanax arboreus
Dendropanax arboreus (L.) Planch. et Decne.
Dendropanax sp.
Derris cumingii
Derris indica
Derris trifoliata
Desbordesia glaucescens
Desconocida
Desconocido
Desmodium gangeticum
Desplatsia
Desplatsia dewevrei
Desplatsia sp.
Detarium
Detarium macrocarpum
Detarium microcarpum
Dialiopsis africana
Dialium
Dialium  sp.
Dialium bipindense
Dialium guainense
Dialium guianen
Dialium guianense
Dialium guianense (Aubl.)Steud.
Dialium guineense / Dialium dinklagei
Dialium pachyphyllum
Dialium zenkeri
Dichopsis polyantha
Dichostemma
Dichostemma glaucescens
Dichrostachys cinerea
Dichrostachys glomerata
Didelotia africana
Didelotia letouzeyi
Didelotia unifoliolata
Didymopanax morototoni
Didymopanax morototoni (Aubl.) DC.
Dillenia bolsteri
Dillenia indica
Dillenia javanica
Dillenia luzoniensis
Dillenia marsupialis
Dillenia philippinensis
Dillenia reifferscheidtia
Dillinia pentagyna
Dilodendron cos
Dimocarpus longan
Diogoa zenkeri
Dioscorea esculenta
Dioscorea sp
Diospyros
Diospyros abyssinica
Diospyros ahernii
Diospyros batocana
Diospyros bipidensis
Diospyros bulusanensis
Diospyros canaliculata
Diospyros chamaethamnus
Diospyros copelandii
Diospyros crassiflora
Diospyros dendo
Diospyros ebenaster
Diospyros elmeri
Diospyros hoyleana
Diospyros iturensis
Diospyros kaki
Diospyros kirkii
Diospyros longiciliata
Diospyros melanoxylon
Diospyros mespiliformis
Diospyros mindanaensis
Diospyros montana
Diospyros mweroensis
Diospyros nicaraguensis
Diospyros peregrina
Diospyros philippensis
Diospyros philippinensis
Diospyros philosanthera
Diospyros pilosanthera
Diospyros pyrrhocarpa
Diospyros sanza-minika
Diospyros simulans
Diospyros sp
Diospyros sp.
Diospyros suaveolens
Diospyros suaveolens / Diospyros mannii
Diospyros viridicans
Diospyros whitei
Dipholis stevensonii
Diphysa america
Diphysa floribunda
Diphysa robinio
Diphysa robinioides
Diphysa robinioides Benth.
Diphysa sp.
Diplodiscus paniculatus
Diploknema ramiflora
Diplorhynchus
Diplorhynchus condylocarpon
Dipteracarpus grandiflorus
Dipterocarp sp
Dipterocarpus caudalus
Dipterocarpus caudatus
Dipterocarpus costatus
Dipterocarpus gracilis
Dipterocarpus grandiflorus
Dipterocarpus turbinatus
Dipterocarpus validus
Dipterocarpus warburgii
Dipteryx paname
Dipteryx panamensis (Pittier) Rec. & Mell.
Discoglypremna caloneura
Disilipes sp.
Disopyros philippensis
Dissotis sp.
Distemonanthus benthamianus
Dixia robinoides
Dolichandrone spathacea
Dombeya ledermannii
Dombeya rotundifolia
Dombeya sp.
Donella
Donella pruniformis
Donella ubanguiensis
Dovyalis sp.
Dracaena
Dracaena arborea
Dracaena sp
Dracontomelon dao
Dracontomelon edule
Drimycarpus racemosus
Drimys granaden
Drimys granadensis
Drimys sp.
Drypetes
Drypetes bordenii
Drypetes brownii
Drypetes gossweileri
Drypetes littoralis
Drypetes longifolia
Drypetes preussii
Drypetes sp.
Duabanga grandiflora
Duabanga mollucana
Duabanga moluccana
Duboscia macrocarpa
Duria zibethinus
Durio zibethinus
Dussia cuscatla
Dussia macropro
Dussia sp
Dysoxylum alliaceum
Dysoxylum binectariferum
Dysoxylum cumingianum
Dysoxylum pauciflorum
Dysoxylum sp
Dystomovita pan
Ebenaceae
Ehretia acuminata
Ehretia austin-smithii
Ehretia serrata
Ehretia tinifolia
Ekebergia banguelensis
Ekebergia capensis
Ekebergia senegalensis
Elaeagnus angustifolia
Elaeagnus latifolia
Elaecarpus curranii
Elaeis guieensis
Elaeis guineensis
Elaeis oleifera
Elaeocarpus floribundas
Elaeocarpus parvilimbus
Elaeocarpus robustus
Elaeocarpus sp
Elaeocarpus varunna
Eleagnus angustifolia
Elmerillia platyphylla
Elmerrillia sp
Eluesine indica
Enantia
Enantia chlorantha
Endodesmia
Endodesmia calophylloides
Endospermum ovatum
Endospermum peltatum
Engelhardtia rigida
Engelhardtia spicata
Entada abyssinica
Entada africana
Entada phaseoloides
Entandrophragma
Entandrophragma angolense
Entandrophragma candollei
Entandrophragma caudatum
Entandrophragma congoense
Entandrophragma cylindricum
Entandrophragma delevoyi
Entandrophragma excelsum
Entandrophragma utile
Enterolobium cy
Enterolobium cyclocarpum
Enterolobium cyclocarpum (Jacq.) Griseb
Enterolobium sc
Enterolobium schomburgkii
Erianthus
Eribroma oblongum
Eriobotrya japo
Eriobotrya japonica
Eriocoelum
Eriocoelum macrocarpum
Erismadelphus
Erismadelphus exsul
Erithrina macrophylla
Ervatamia cordata
Ervatamia cumingiana
Erycibe
Eryobotria japonica
Erythrina
Erythrina abyssinica
Erythrina berteroana
Erythrina excelsa
Erythrina fusca
Erythrina gibbosa
Erythrina glauca
